Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s]
1,0,0,0,0,2.41
2,0.005,34.679361,0.000209,0.01205,2.410037
3,0.01,138.717441,0.001254,0.0241,2.410027
4,0.015,196.516375,0.003273,0.03615,2.409962
5,0.02,196.516375,0.005641,0.0482,2.409877
6,0.025,184.956588,0.00794,0.060249,2.409796
7,0.03,92.478294,0.009611,0.072298,2.409751
8,0.035,150.277228,0.011073,0.084347,2.409717
9,0.04,115.597868,0.012675,0.096395,2.409675
10,0.045,57.798934,0.01372,0.108443,2.409665
11,0.05,23.119574,0.014207,0.120492,2.409687
12,0.055,80.918508,0.014834,0.13254,2.4097
13,0.06,23.119574,0.015461,0.144589,2.409714
14,0.065,23.119574,0.015739,0.156637,2.409747
15,0.07,46.239147,0.016157,0.168686,2.409773
16,0.075,161.837015,0.017411,0.180735,2.409751
17,0.08,127.157654,0.019152,0.192784,2.409701
18,0.085,161.837015,0.020893,0.204832,2.409652
19,0.09,184.956588,0.022982,0.21688,2.409583
20,0.095,208.076161,0.025349,0.228928,2.409498
21,0.1,196.516375,0.027786,0.240975,2.409409
22,0.105,196.516375,0.030154,0.253022,2.409324
23,0.11,173.396801,0.032382,0.265068,2.409247
24,0.115,138.717441,0.034262,0.277114,2.40919
25,0.12,138.717441,0.035933,0.28916,2.409144
26,0.125,138.717441,0.037604,0.301206,2.409099
27,0.13,115.597868,0.039135,0.313251,2.409061
28,0.135,80.918508,0.040319,0.325297,2.409043
29,0.14,57.798934,0.041154,0.337342,2.409045
30,0.145,104.038081,0.042129,0.349387,2.409039
31,0.15,46.239147,0.043034,0.361432,2.409037
32,0.155,104.038081,0.043939,0.373477,2.409035
33,0.16,161.837015,0.04554,0.385522,2.408993
34,0.165,196.516375,0.047698,0.397567,2.40892
35,0.17,184.956588,0.049996,0.409612,2.408839
36,0.175,196.516375,0.052293,0.421656,2.408758
37,0.18,219.635948,0.054799,0.433699,2.408665
38,0.185,184.956588,0.057235,0.445742,2.408576
39,0.19,219.635948,0.059671,0.457785,2.408488
40,0.195,173.396801,0.062038,0.469827,2.408403
41,0.2,92.478294,0.063639,0.481869,2.408361
42,0.205,80.918508,0.064683,0.493911,2.408351
43,0.21,69.358721,0.065588,0.505953,2.408349
44,0.215,46.239147,0.066284,0.517994,2.408359
45,0.22,57.798934,0.06691,0.530036,2.408372
46,0.225,92.478294,0.067815,0.542078,2.40837
47,0.23,127.157654,0.069137,0.55412,2.408344
48,0.235,150.277228,0.070808,0.566161,2.408299
49,0.24,173.396801,0.072756,0.578203,2.408237
50,0.245,184.956588,0.074914,0.590244,2.408164
51,0.25,242.755522,0.077489,0.602284,2.408068
52,0.255,242.755522,0.080411,0.614324,2.407951
53,0.26,254.315308,0.083404,0.626364,2.407831
54,0.265,254.315308,0.086465,0.638403,2.407707
55,0.27,231.195735,0.089388,0.650441,2.40759
56,0.275,150.277228,0.091684,0.662479,2.407509
57,0.28,104.038081,0.093214,0.674516,2.407472
58,0.285,57.798934,0.094188,0.686553,2.407466
59,0.29,34.679361,0.094745,0.698591,2.407483
60,0.295,104.038081,0.09558,0.710628,2.407485
61,0.3,34.679361,0.096415,0.722666,2.407487
62,0.305,104.038081,0.09725,0.734703,2.407488
63,0.31,92.478294,0.098433,0.746741,2.407471
64,0.315,138.717441,0.099824,0.758778,2.407441
65,0.32,161.837015,0.101633,0.770815,2.407387
66,0.325,184.956588,0.10372,0.782852,2.407318
67,0.33,184.956588,0.105946,0.794888,2.407241
68,0.335,219.635948,0.108381,0.806924,2.407152
69,0.34,219.635948,0.111025,0.81896,2.407052
70,0.345,196.516375,0.113529,0.830995,2.406959
71,0.35,196.516375,0.115894,0.843029,2.406874
72,0.355,150.277228,0.11798,0.855063,2.406805
73,0.36,104.038081,0.119511,0.867097,2.406767
74,0.365,115.597868,0.120832,0.879131,2.406742
75,0.37,80.918508,0.122015,0.891165,2.406724
76,0.375,80.918508,0.122988,0.903198,2.406718
77,0.38,69.358721,0.123892,0.915232,2.406715
78,0.385,104.038081,0.124936,0.927265,2.406705
79,0.39,115.597868,0.126257,0.939299,2.406679
80,0.395,150.277228,0.127857,0.951332,2.406638
81,0.4,196.516375,0.129943,0.963365,2.406569
82,0.405,161.837015,0.132099,0.975398,2.406496
83,0.41,219.635948,0.134394,0.98743,2.406415
84,0.415,219.635948,0.137037,0.999462,2.406314
85,0.42,231.195735,0.139749,1.011493,2.40621
86,0.425,219.635948,0.142461,1.023524,2.406105
87,0.43,219.635948,0.145103,1.035554,2.406004
88,0.435,184.956588,0.147537,1.047584,2.405915
89,0.44,173.396801,0.149692,1.059614,2.405842
90,0.445,127.157654,0.1515,1.071643,2.405789
91,0.45,127.157654,0.153029,1.083671,2.405751
92,0.455,138.717441,0.154629,1.0957,2.40571
93,0.46,150.277228,0.156367,1.107729,2.40566
94,0.465,196.516375,0.158452,1.119757,2.405591
95,0.47,184.956588,0.160746,1.131784,2.40551
96,0.475,219.635948,0.163179,1.143812,2.405422
97,0.48,300.554455,0.166308,1.155839,2.405293
98,0.485,288.994668,0.169853,1.167865,2.405141
99,0.49,254.315308,0.173119,1.17989,2.405005
100,0.495,277.434882,0.176316,1.191915,2.404873
101,0.5,254.315308,0.179513,1.203939,2.404741
102,0.505,208.076161,0.182293,1.215962,2.404633
103,0.51,265.875095,0.185142,1.227985,2.40452
104,0.515,208.076161,0.187991,1.240007,2.404408
105,0.52,138.717441,0.190076,1.252029,2.404338
106,0.525,184.956588,0.192021,1.264051,2.404277
107,0.53,184.956588,0.194245,1.276072,2.4042
108,0.535,184.956588,0.196468,1.288093,2.404123
109,0.54,242.755522,0.199039,1.300113,2.404026
110,0.545,312.114242,0.202373,1.312133,2.403886
111,0.55,312.114242,0.206125,1.324152,2.403723
112,0.555,300.554455,0.209806,1.33617,2.403563
113,0.56,323.674029,0.213557,1.348188,2.403399
114,0.565,381.472962,0.217794,1.360204,2.403208
115,0.57,346.793602,0.222169,1.37222,2.403009
116,0.575,335.233815,0.226266,1.384234,2.402826
117,0.58,277.434882,0.229946,1.396248,2.402666
118,0.585,312.114242,0.233487,1.408261,2.402514
119,0.59,288.994668,0.237098,1.420273,2.402358
120,0.595,312.114242,0.240708,1.432285,2.402203
121,0.6,312.114242,0.244457,1.444295,2.402039
122,0.605,277.434882,0.247997,1.456305,2.401887
123,0.61,323.674029,0.251606,1.468314,2.401731
124,0.615,323.674029,0.255493,1.480322,2.40156
125,0.62,404.592536,0.259865,1.492329,2.401361
126,0.625,473.951256,0.265139,1.504336,2.40111
127,0.63,439.271896,0.270621,1.516341,2.400848
128,0.635,462.391469,0.276032,1.528344,2.40059
129,0.64,497.070829,0.28179,1.540346,2.400312
130,0.645,462.391469,0.287547,1.552347,2.400034
131,0.65,473.951256,0.293165,1.564347,2.399764
132,0.655,427.712109,0.298574,1.576345,2.399506
133,0.66,427.712109,0.303705,1.588342,2.399263
134,0.665,416.152322,0.308767,1.600338,2.399025
135,0.67,393.032749,0.31362,1.612332,2.398798
136,0.675,346.793602,0.318056,1.624326,2.398595
137,0.68,393.032749,0.322492,1.636318,2.398392
138,0.685,427.712109,0.327413,1.648309,2.398162
139,0.69,450.831683,0.33268,1.6603,2.397911
140,0.695,508.630616,0.338432,1.672289,2.397633
141,0.7,543.309976,0.344737,1.684276,2.397324
142,0.705,508.630616,0.351041,1.696262,2.397015
143,0.71,520.190403,0.357206,1.708246,2.396713
144,0.715,520.190403,0.363439,1.720229,2.396408
145,0.72,566.42955,0.369949,1.73221,2.396086
146,0.725,531.75019,0.376527,1.74419,2.395761
147,0.73,520.190403,0.382827,1.756168,2.395452
148,0.735,508.630616,0.388988,1.768144,2.39515
149,0.74,485.511043,0.39494,1.780119,2.394861
150,0.745,450.831683,0.400546,1.792093,2.394591
151,0.75,485.511043,0.406151,1.804065,2.39432
152,0.755,427.712109,0.411617,1.816036,2.394058
153,0.76,554.869763,0.417497,1.828006,2.393773
